Film surpasses the hype	 10
Surpasses "Begins" in every aspect!!!	 10
Best movie of 2008 hands down!	 10
Certainly Dark - Worth The Wait	 10
The sequel we deserved to the Batman we wanted	 10
Best. Comic. Movie. EVER.	 10
Batman at his best and beyond	 10
The dark and sinister mood of the film really sets the theme of the movie	 10
The Dark Knight is as good as everyone says and easily the best superhero film made	 10
The Batman of our dreams! So much more than a comic book movie	 10
The Dark Knight ---- Best Batman Movie Ever.	 8
Heath Ledgers Dark and Brilliant Swan Song	 10
A Batman Of Shakesperean Proportions	 9
Im sorry everyone, this is no masterpiece.	 8
Batman just got really modern	 8
Lets be realistic.	 5
Best film ever? You must be batty!	 4
Surprisingly incoherent and boring	 3
One of the Best Superhero movies EVER!!!!!!!	 10
very weak, unfortunately	 1
Mediocre	 1
Fantastic!	 10
Why so happy? Lets put a frown on that face!	 1
Erm...really? (may be a couple of spoilers)	 1
The Dark Knight Delivers	 10
Not impressed	 4
Ledger saves pretentious, overwrought superhero movie	 6
The Dark Nothing	 1
warning contains spoilers, OVERHYPE, NON-EVENT	 1
Bold without ever being especially great, and which progressively gets less-interesting; the film is a wild concoction of ideas that just about treads water.	 6
The film that seems to have fooled everyone!	 6
Too many  fans seem to be blown away	 6
This is seriously the best movie ever made.&#xFEFF;	 10
This generation is too easily impressed.	 1
Not Very Good	 4
Very Good, But Yikes, Lets Keep Things in Perspective	 8
Did you people see the same film I saw?	 6
This movie was a joke...	 1
great but doesnt deserve to be compared with masterpieces	 7
Undescribable Perfection	 10
Christopher Nolan masterpiece	 10
Wonderful. How superhero movies should be made!	 10
I was disappointed by Batman Begins, was expecting the worst, and i got the best.	 10
The best Batman film yet.	 10
Bat-A-Man!	 10
Takes itself way too seriously	 1
Just so...so bad	 1
A Plot in the Dark	 1
Am i the only one who thinks........Average?	 1
Not as good as most people would have you believe	 6
A Testament to the Stupidity of Our Times	 1
No worth the money	 1
Not even the best movie of 2008.	 2
all you need to know is......	 1
The Age of Commercialism	 1
When they said Dark did they mean a coal mine at night	 1
Hyped and a little overrated, this is a good film but with many flaws	 1
Why so much hype?	 1
Hmm, the most overrated junk movie, I have seen in my whole life	 3
Just what Iexpected - Its a self-parody	 1
TDK, a solid superhero movie, nothing more	 7
The Dark Mess	 1
Do you have 0 rating as well??	 1
Are you people paid for rating this non-event a tener?	 1
Seriously? SPOILER	 1
Unwatchable - only 1 sound guy?	 1
ridiculous rating	 1
Too implausible and too dark, but not terrible	 1
Too much of everything	 1
I didnt like it! Oh! Heaven for offend!!!	 1
Who payed the critics	 1
If not the dark knight....then nothing	 9
Not a good Batman film. Over-rated in the Extreme.	 1
gratuitous vileness	 1
Best movie ever made?	 1
Basic entertainment - nothing more	 1
This film does not belong in the top 10 Movies of all time.	 1
Cant believe this is still top 10	 1
Really bad movie disguised (and not very well!) as a good one!	 1
more mainstream and overrated than Britney Spears...	 1
